transaction_id,date,category,merchant,amount,payment_method,day,month,year,day_of_week,is_weekend,amount_log,category_avg_amount,amount_vs_category_avg
1,2025-01-01 00:00:00.000000,Education,Zomato,2289.55,UPI,1,1,2025,2,0,7.736547242383455,2582.3797758206565,0.8866046820214127
2,2025-01-01 01:18:29.270927,Entertainment,Airtel,4883.89,UPI,1,1,2025,2,0,8.493902046311376,2666.7235731225296,1.8314196676490688
3,2025-01-01 02:36:58.541854,Bills,Netflix,296.51,Debit Card,1,1,2025,2,0,5.695447837866143,2588.439496459481,0.11455164411050453
4,2025-01-01 03:55:27.812781,Education,Zomato,944.1,Credit Card,1,1,2025,2,0,6.8512907420010105,2582.3797758206565,0.36559301185665993
5,2025-01-01 05:13:57.083708,Shopping,Myntra,3255.16,UPI,1,1,2025,2,0,8.088303865964239,2582.691050488599,1.2603752970701554
6,2025-01-01 06:32:26.354635,Travel,Uber,725.01,Debit Card,1,1,2025,2,0,6.5875637888346175,2612.472435275081,0.27751871759889396
7,2025-01-01 07:50:55.625562,Bills,Flipkart,2967.44,Debit Card,1,1,2025,2,0,7.995791841278062,2588.439496459481,1.1464204606902821
8,2025-01-01 09:09:24.896489,Bills,Flipkart,2860.42,UPI,1,1,2025,2,0,7.959073284093324,2588.439496459481,1.105075086326159
9,2025-01-01 10:27:54.167416,Education,Netflix,4856.48,Cash,1,1,2025,2,0,8.488275063898806,2582.3797758206565,1.8806219152861259
10,2025-01-01 11:46:23.438343,Transport,Flipkart,4422.76,Credit Card,1,1,2025,2,0,8.39474529218269,2469.707294213529,1.7908033111302022
11,2025-01-01 13:04:52.709270,Shopping,Zomato,4730.49,Cash,1,1,2025,2,0,8.461995442451391,2582.691050488599,1.831612805219221
12,2025-01-01 14:23:21.980198,Education,Local Store,612.33,Cash,1,1,2025,2,0,6.418903127137544,2582.3797758206565,0.23711849269165192
13,2025-01-01 15:41:51.251125,Shopping,Flipkart,4347.33,Credit Card,1,1,2025,2,0,8.377547142325193,2582.691050488599,1.6832559198970247
14,2025-01-01 17:00:20.522052,Shopping,Netflix,689.0,Credit Card,1,1,2025,2,0,6.536691597591305,2582.691050488599,0.26677600476822555
15,2025-01-01 18:18:49.792979,Travel,Flipkart,3183.01,UPI,1,1,2025,2,0,8.065896687662859,2612.472435275081,1.2183898888352651
16,2025-01-01 19:37:19.063906,Bills,Flipkart,3614.39,UPI,1,1,2025,2,0,8.192955012591252,2588.439496459481,1.3963586960189083
17,2025-01-01 20:55:48.334833,Entertainment,Reliance,846.22,UPI,1,1,2025,2,0,6.741960401185134,2666.7235731225296,0.31732572829404326
18,2025-01-01 22:14:17.605760,Travel,Zomato,3181.66,Credit Card,1,1,2025,2,0,8.065472604108903,2612.472435275081,1.217873136971486
19,2025-01-01 23:32:46.876687,Travel,Myntra,309.68,Cash,1,1,2025,2,0,5.738763443551447,2612.472435275081,0.11853904975934883
20,2025-01-02 00:51:16.147614,Shopping,Amazon,1501.67,Credit Card,2,1,2025,3,0,7.314998804767713,2582.691050488599,0.581436172830626
21,2025-01-02 02:09:45.418541,Healthcare,Local Store,4609.73,UPI,2,1,2025,3,0,8.436141474864412,2581.179936457506,1.785900291138378
22,2025-01-02 03:28:14.689468,Bills,Flipkart,900.07,Cash,2,1,2025,3,0,6.803582946044453,2588.439496459481,0.3477268837966403
23,2025-01-02 04:46:43.960396,Transport,Airtel,373.09,UPI,2,1,2025,3,0,5.924496410176189,2469.707294213529,0.1510664850341341
24,2025-01-02 06:05:13.231323,Travel,Flipkart,2246.21,Cash,2,1,2025,3,0,7.717444725762332,2612.472435275081,0.8598023732883845
25,2025-01-02 07:23:42.502250,Entertainment,Reliance,4260.56,UPI,2,1,2025,3,0,8.357390569412692,2666.7235731225296,1.5976759057224705
26,2025-01-02 08:42:11.773177,Healthcare,Myntra,429.53,Credit Card,2,1,2025,3,0,6.06501700785095,2581.179936457506,0.1664083909584005
27,2025-01-02 10:00:41.044104,Healthcare,Airtel,1809.9,Debit Card,2,1,2025,3,0,7.501579238247297,2581.179936457506,0.7011909454417831
28,2025-01-02 11:19:10.315031,Transport,Local Store,4503.89,Debit Card,2,1,2025,3,0,8.412918752430235,2469.707294213529,1.8236533578503482
29,2025-01-02 12:37:39.585958,Travel,Airtel,634.87,Cash,2,1,2025,3,0,6.454994139931357,2612.472435275081,0.2430150042647823
30,2025-01-02 13:56:08.856885,Entertainment,Zomato,1587.81,Credit Card,2,1,2025,3,0,7.370740587329509,2666.7235731225296,0.5954160438686923
31,2025-01-02 15:14:38.127812,Bills,Netflix,3903.18,UPI,2,1,2025,3,0,8.269803053027486,2588.439496459481,1.5079278481644431
32,2025-01-02 16:33:07.398739,Food,Netflix,2738.89,Cash,2,1,2025,3,0,7.915673052590843,2555.6312885375496,1.0717078055368932
33,2025-01-02 17:51:36.669666,Entertainment,Local Store,4170.05,Cash,2,1,2025,3,0,8.335923081658061,2666.7235731225296,1.5637353800106062
34,2025-01-02 19:10:05.940594,Transport,Myntra,602.4,UPI,2,1,2025,3,0,6.40258032672496,2469.707294213529,0.24391554473334154
35,2025-01-02 20:28:35.211521,Healthcare,Netflix,4606.74,UPI,2,1,2025,3,0,8.435492777172744,2581.179936457506,1.784741906185137
36,2025-01-02 21:47:04.482448,Bills,Swiggy,4677.81,UPI,2,1,2025,3,0,8.45079908307443,2588.439496459481,1.8071931008618909
37,2025-01-02 23:05:33.753375,Entertainment,Reliance,818.8,Credit Card,2,1,2025,3,0,6.709060408070237,2666.7235731225296,0.3070434477170979
38,2025-01-03 00:24:03.024302,Food,Local Store,217.68,Debit Card,3,1,2025,4,0,5.387609474026799,2555.6312885375496,0.085176606256283
39,2025-01-03 01:42:32.295229,Food,Local Store,4949.71,Cash,3,1,2025,4,0,8.507286279620448,2555.6312885375496,1.9367856475229073
40,2025-01-03 03:01:01.566156,Shopping,Amazon,2437.15,Cash,3,1,2025,4,0,7.7989948339894335,2582.691050488599,0.9436475181725413
41,2025-01-03 04:19:30.837083,Shopping,Amazon,2881.77,Debit Card,3,1,2025,4,0,7.966506916446949,2582.691050488599,1.1158012877517116
42,2025-01-03 05:38:00.108010,Education,Zomato,3098.73,Cash,3,1,2025,4,0,8.039070289905899,2582.3797758206565,1.1999513119696936
43,2025-01-03 06:56:29.378937,Transport,Zomato,3958.86,Credit Card,3,1,2025,4,0,8.283963950088221,2469.707294213529,1.6029672865588256
44,2025-01-03 08:14:58.649864,Travel,Amazon,4069.34,UPI,3,1,2025,4,0,8.311481813031067,2612.472435275081,1.5576585402599734
45,2025-01-03 09:33:27.920792,Entertainment,Netflix,1009.93,Debit Card,3,1,2025,4,0,6.91862597824554,2666.7235731225296,0.3787156682375778
46,2025-01-03 10:51:57.191719,Entertainment,Uber,1221.35,Credit Card,3,1,2025,4,0,7.108530514434339,2666.7235731225296,0.457996476391399
47,2025-01-03 12:10:26.462646,Travel,Local Store,4390.32,UPI,3,1,2025,4,0,8.38738514424433,2612.472435275081,1.6805229945087325
48,2025-01-03 13:28:55.733573,Education,Swiggy,4106.61,Debit Card,3,1,2025,4,0,8.320596629832814,2582.3797758206565,1.5902424726413282
49,2025-01-03 14:47:25.004500,Healthcare,Local Store,3107.22,Credit Card,3,1,2025,4,0,8.041805494053179,2581.179936457506,1.2037982924446748
50,2025-01-03 16:05:54.275427,Healthcare,Flipkart,4973.76,Debit Card,3,1,2025,4,0,8.51213240722302,2581.179936457506,1.926932690646181
51,2025-01-03 17:24:23.546354,Education,Myntra,3689.16,Debit Card,3,1,2025,4,0,8.213425096528141,2582.3797758206565,1.4285892549741717
52,2025-01-03 18:42:52.817281,Healthcare,Reliance,1118.39,Credit Card,3,1,2025,4,0,7.020539173060201,2581.179936457506,0.4332863370753278
53,2025-01-03 20:01:22.088208,Shopping,Uber,4240.89,Cash,3,1,2025,4,0,8.352764203623865,2582.691050488599,1.6420430926872571
54,2025-01-03 21:19:51.359135,Entertainment,Swiggy,2102.93,Credit Card,3,1,2025,4,0,7.651562303342166,2666.7235731225296,0.7885819217241289
55,2025-01-03 22:38:20.630063,Education,Flipkart,228.96,Debit Card,3,1,2025,4,0,5.43790538075509,2582.3797758206565,0.08866240440069999
56,2025-01-03 23:56:49.900990,Entertainment,Zomato,1641.04,Debit Card,3,1,2025,4,0,7.403694650251592,2666.7235731225296,0.6153768679062853
57,2025-01-04 01:15:19.171917,Travel,Swiggy,3829.58,Credit Card,4,1,2025,5,1,8.250771506740746,2612.472435275081,1.4658834092527997
58,2025-01-04 02:33:48.442844,Food,Amazon,4803.02,UPI,4,1,2025,5,1,8.477208346388544,2555.6312885375496,1.8793869137314054
59,2025-01-04 03:52:17.713771,Shopping,Local Store,1416.88,UPI,4,1,2025,5,1,7.256918077276938,2582.691050488599,0.5486060749434013
60,2025-01-04 05:10:46.984698,Bills,Swiggy,1270.26,UPI,4,1,2025,5,1,7.1477638136051835,2588.439496459481,0.4907435548474233
61,2025-01-04 06:29:16.255625,Shopping,Myntra,2839.9,UPI,4,1,2025,5,1,7.951876182361057,2582.691050488599,1.099589515154258
62,2025-01-04 07:47:45.526552,Education,Airtel,4067.84,Credit Card,4,1,2025,5,1,8.311113225527908,2582.3797758206565,1.5752291890170484
63,2025-01-04 09:06:14.797479,Bills,Zomato,3745.3,Cash,4,1,2025,5,1,8.22852396522182,2588.439496459481,1.4469335694818815
64,2025-01-04 10:24:44.068406,Food,Reliance,2821.8,UPI,4,1,2025,5,1,7.945484579126675,2555.6312885375496,1.1041498876055649
65,2025-01-04 11:43:13.339333,Education,Reliance,3175.38,Debit Card,4,1,2025,5,1,8.063497462565016,2582.3797758206565,1.229633235874802
66,2025-01-04 13:01:42.610261,Transport,Swiggy,1248.39,UPI,4,1,2025,5,1,7.130410711185594,2469.707294213529,0.5054809543320987
67,2025-01-04 14:20:11.881188,Entertainment,Airtel,2191.24,Cash,4,1,2025,5,1,7.692679131125512,2666.7235731225296,0.8216974650410522
68,2025-01-04 15:38:41.152115,Food,Local Store,1314.06,Credit Card,4,1,2025,5,1,7.181637570947394,2555.6312885375496,0.5141821536986917
69,2025-01-04 16:57:10.423042,Entertainment,Flipkart,4427.87,Cash,4,1,2025,5,1,8.395899751494227,2666.7235731225296,1.6604158168577263
70,2025-01-04 18:15:39.693969,Healthcare,Uber,607.14,Cash,4,1,2025,5,1,6.41040511861757,2581.179936457506,0.2352180068597846
71,2025-01-04 19:34:08.964896,Transport,Local Store,3414.72,Cash,4,1,2025,5,1,8.13614358433585,2469.707294213529,1.3826415818589575
72,2025-01-04 20:52:38.235823,Transport,Flipkart,1338.4,UPI,4,1,2025,5,1,7.1999770314759495,2469.707294213529,0.5419265688431347
73,2025-01-04 22:11:07.506750,Food,Uber,2404.11,UPI,4,1,2025,5,1,7.785350919539647,2555.6312885375496,0.9407108180209137
74,2025-01-04 23:29:36.777677,Transport,Airtel,1532.09,Cash,4,1,2025,5,1,7.335040585563416,2469.707294213529,0.6203528667505067
75,2025-01-05 00:48:06.048604,Bills,Uber,1650.06,Credit Card,5,1,2025,6,1,7.409172784870933,2588.439496459481,0.6374728875281748
76,2025-01-05 02:06:35.319531,Transport,Local Store,1338.95,UPI,5,1,2025,6,1,7.200387578815958,2469.707294213529,0.5421492672986515
77,2025-01-05 03:25:04.590459,Entertainment,Myntra,3776.32,Credit Card,5,1,2025,6,1,8.236770042449029,2666.7235731225296,1.4160897807560227
78,2025-01-05 04:43:33.861386,Entertainment,Swiggy,1860.29,UPI,5,1,2025,6,1,7.5290250747008045,2666.7235731225296,0.6975938634021007
79,2025-01-05 06:02:03.132313,Education,Flipkart,3645.47,Credit Card,5,1,2025,6,1,8.201514855323394,2582.3797758206565,1.4116707519681155
80,2025-01-05 07:20:32.403240,Entertainment,Myntra,2307.55,UPI,5,1,2025,6,1,7.7443749007984755,2666.7235731225296,0.8653127842935874
81,2025-01-05 08:39:01.674167,Education,Flipkart,2758.87,Cash,5,1,2025,6,1,7.922938856152612,2582.3797758206565,1.068344023536684
82,2025-01-05 09:57:30.945094,Entertainment,Swiggy,2739.27,Debit Card,5,1,2025,6,1,7.91581173467334,2666.7235731225296,1.0272043295408095
83,2025-01-05 11:16:00.216021,Bills,Netflix,4880.47,Debit Card,5,1,2025,6,1,8.49320168299489,2588.439496459481,1.8854873782739
84,2025-01-05 12:34:29.486948,Travel,Uber,1866.96,Credit Card,5,1,2025,6,1,7.532602205283289,2612.472435275081,0.7146333774822845
85,2025-01-05 13:52:58.757875,Education,Airtel,1078.04,Credit Card,5,1,2025,6,1,6.983827035933381,2582.3797758206565,0.4174598988475306
86,2025-01-05 15:11:28.028802,Shopping,Netflix,4563.37,Cash,5,1,2025,6,1,8.426035776933544,2582.691050488599,1.766905104323915
87,2025-01-05 16:29:57.299729,Healthcare,Netflix,915.45,Cash,5,1,2025,6,1,6.8205075104178565,2581.179936457506,0.3546633797473232
88,2025-01-05 17:48:26.570657,Food,Reliance,4180.39,Credit Card,5,1,2025,6,1,8.338399006126167,2555.6312885375496,1.6357563075510055
89,2025-01-05 19:06:55.841584,Entertainment,Amazon,793.56,Debit Card,5,1,2025,6,1,6.677788502319801,2666.7235731225296,0.2975786496951395
90,2025-01-05 20:25:25.112511,Transport,Local Store,3310.69,Cash,5,1,2025,6,1,8.10521391209067,2469.707294213529,1.3405191812636563
91,2025-01-05 21:43:54.383438,Travel,Myntra,795.18,Credit Card,5,1,2025,6,1,6.679825290933967,2612.472435275081,0.30437833114065804
92,2025-01-05 23:02:23.654365,Entertainment,Myntra,4619.27,Cash,5,1,2025,6,1,8.438208423926584,2666.7235731225296,1.7321892852175855
93,2025-01-06 00:20:52.925292,Transport,Myntra,2846.79,Cash,6,1,2025,0,0,7.954298533858181,2469.707294213529,1.15268315669228
94,2025-01-06 01:39:22.196219,Healthcare,Myntra,1679.91,UPI,6,1,2025,0,0,7.427090592415537,2581.179936457506,0.6508302564545587
95,2025-01-06 02:57:51.467146,Healthcare,Local Store,744.6,Cash,6,1,2025,0,0,6.614189263371381,2581.179936457506,0.2884727211315275
96,2025-01-06 04:16:20.738073,Healthcare,Netflix,1887.4,Credit Card,6,1,2025,0,0,7.543485188672132,2581.179936457506,0.731215973494017
97,2025-01-06 05:34:50.009000,Transport,Local Store,3539.85,Cash,6,1,2025,0,0,8.17212209029966,2469.707294213529,1.43330750502045
98,2025-01-06 06:53:19.279927,Entertainment,Myntra,1955.51,Credit Card,6,1,2025,0,0,7.578917552805307,2666.7235731225296,0.733300601423134
99,2025-01-06 08:11:48.550855,Healthcare,Amazon,1268.17,UPI,6,1,2025,0,0,7.146118422493031,2581.179936457506,0.4913140622580839
100,2025-01-06 09:30:17.821782,Bills,Zomato,2908.18,UPI,6,1,2025,0,0,7.975626533514557,2588.439496459481,1.1235263578607368
101,2025-01-06 10:48:47.092709,Education,Swiggy,2118.22,Debit Card,6,1,2025,0,0,7.6588033754369205,2582.3797758206565,0.8202589022084674
102,2025-01-06 12:07:16.363636,Transport,Myntra,870.74,UPI,6,1,2025,0,0,6.770491214311303,2469.707294213529,0.3525680966485887
103,2025-01-06 13:25:45.634563,Transport,Airtel,812.24,UPI,6,1,2025,0,0,6.701026268936022,2469.707294213529,0.3288810791072532
104,2025-01-06 14:44:14.905490,Entertainment,Zomato,3551.94,Credit Card,6,1,2025,0,0,8.175530708740808,2666.7235731225296,1.3319490763120039
105,2025-01-06 16:02:44.176417,Transport,Local Store,4874.63,Debit Card,6,1,2025,0,0,8.492004605851601,2469.707294213529,1.9737683131200012
106,2025-01-06 17:21:13.447344,Transport,Airtel,1203.82,UPI,6,1,2025,0,0,7.094085457173451,2469.707294213529,0.4874342813095804
107,2025-01-06 18:39:42.718271,Healthcare,Airtel,3877.09,Cash,6,1,2025,0,0,8.263098043372391,2581.179936457506,1.5020611098198147
108,2025-01-06 19:58:11.989198,Entertainment,Flipkart,483.65,Debit Card,6,1,2025,0,0,6.183426980938617,2666.7235731225296,0.1813648796878046
109,2025-01-06 21:16:41.260126,Healthcare,Airtel,1938.8,UPI,6,1,2025,0,0,7.570340153959442,2581.179936457506,0.7511293469376921
110,2025-01-06 22:35:10.531053,Education,Myntra,2558.11,Debit Card,6,1,2025,0,0,7.847414820777164,2582.3797758206565,0.9906017790071394
111,2025-01-06 23:53:39.801980,Travel,Flipkart,1380.3,UPI,6,1,2025,0,0,7.2307803637059145,2612.472435275081,0.5283500722772836
112,2025-01-07 01:12:09.072907,Education,Reliance,2671.41,Credit Card,7,1,2025,1,0,7.890735965999118,2582.3797758206565,1.0344760383476324
113,2025-01-07 02:30:38.343834,Travel,Netflix,4418.94,Debit Card,7,1,2025,1,0,8.393881400318973,2612.472435275081,1.69147813402085
114,2025-01-07 03:49:07.614761,Healthcare,Airtel,4724.97,Debit Card,7,1,2025,1,0,8.460828109863819,2581.179936457506,1.830546539302758
115,2025-01-07 05:07:36.885688,Education,Amazon,547.76,UPI,7,1,2025,1,0,6.307661187457964,2582.3797758206565,0.2121144245044
116,2025-01-07 06:26:06.156615,Entertainment,Swiggy,1395.64,Debit Card,7,1,2025,1,0,7.24182463098704,2666.7235731225296,0.523353831670604
