transaction_id,date,category,merchant,amount,payment_method
1,2025-01-01 00:00:00.000000,Education,Zomato,2289.55,UPI
2,2025-01-01 01:18:29.270927,Entertainment,Airtel,4883.89,UPI
3,2025-01-01 02:36:58.541854,Bills,Netflix,296.51,Debit Card
4,2025-01-01 03:55:27.812781,Education,Zomato,944.1,Credit Card
5,2025-01-01 05:13:57.083708,Shopping,Myntra,3255.16,UPI
6,2025-01-01 06:32:26.354635,Travel,Uber,725.01,Debit Card
7,2025-01-01 07:50:55.625562,Bills,Flipkart,2967.44,Debit Card
8,2025-01-01 09:09:24.896489,Bills,Flipkart,2860.42,UPI
9,2025-01-01 10:27:54.167416,Education,Netflix,4856.48,Cash
10,2025-01-01 11:46:23.438343,Transport,Flipkart,4422.76,Credit Card
11,2025-01-01 13:04:52.709270,Shopping,Zomato,4730.49,Cash
12,2025-01-01 14:23:21.980198,Education,Local Store,612.33,Cash
13,2025-01-01 15:41:51.251125,Shopping,Flipkart,4347.33,Credit Card
14,2025-01-01 17:00:20.522052,Shopping,Netflix,689.0,Credit Card
15,2025-01-01 18:18:49.792979,Travel,Flipkart,3183.01,UPI
16,2025-01-01 19:37:19.063906,Bills,Flipkart,3614.39,UPI
17,2025-01-01 20:55:48.334833,Entertainment,Reliance,846.22,UPI
18,2025-01-01 22:14:17.605760,Travel,Zomato,3181.66,Credit Card
19,2025-01-01 23:32:46.876687,Travel,Myntra,309.68,Cash
20,2025-01-02 00:51:16.147614,Shopping,Amazon,1501.67,Credit Card
21,2025-01-02 02:09:45.418541,Healthcare,Local Store,4609.73,UPI
22,2025-01-02 03:28:14.689468,Bills,Flipkart,900.07,Cash
23,2025-01-02 04:46:43.960396,Transport,Airtel,373.09,UPI
24,2025-01-02 06:05:13.231323,Travel,Flipkart,2246.21,Cash
25,2025-01-02 07:23:42.502250,Entertainment,Reliance,4260.56,UPI
26,2025-01-02 08:42:11.773177,Healthcare,Myntra,429.53,Credit Card
27,2025-01-02 10:00:41.044104,Healthcare,Airtel,1809.9,Debit Card
28,2025-01-02 11:19:10.315031,Transport,Local Store,4503.89,Debit Card
29,2025-01-02 12:37:39.585958,Travel,Airtel,634.87,Cash
30,2025-01-02 13:56:08.856885,Entertainment,Zomato,1587.81,Credit Card
31,2025-01-02 15:14:38.127812,Bills,Netflix,3903.18,UPI
32,2025-01-02 16:33:07.398739,Food,Netflix,2738.89,Cash
33,2025-01-02 17:51:36.669666,Entertainment,Local Store,4170.05,Cash
34,2025-01-02 19:10:05.940594,Transport,Myntra,602.4,UPI
35,2025-01-02 20:28:35.211521,Healthcare,Netflix,4606.74,UPI
36,2025-01-02 21:47:04.482448,Bills,Swiggy,4677.81,UPI
37,2025-01-02 23:05:33.753375,Entertainment,Reliance,818.8,Credit Card
38,2025-01-03 00:24:03.024302,Food,Local Store,217.68,Debit Card
39,2025-01-03 01:42:32.295229,Food,Local Store,4949.71,Cash
40,2025-01-03 03:01:01.566156,Shopping,Amazon,2437.15,Cash
41,2025-01-03 04:19:30.837083,Shopping,Amazon,2881.77,Debit Card
42,2025-01-03 05:38:00.108010,Education,Zomato,3098.73,Cash
43,2025-01-03 06:56:29.378937,Transport,Zomato,3958.86,Credit Card
44,2025-01-03 08:14:58.649864,Travel,Amazon,4069.34,UPI
45,2025-01-03 09:33:27.920792,Entertainment,Netflix,1009.93,Debit Card
46,2025-01-03 10:51:57.191719,Entertainment,Uber,1221.35,Credit Card
47,2025-01-03 12:10:26.462646,Travel,Local Store,4390.32,UPI
48,2025-01-03 13:28:55.733573,Education,Swiggy,4106.61,Debit Card
49,2025-01-03 14:47:25.004500,Healthcare,Local Store,3107.22,Credit Card
50,2025-01-03 16:05:54.275427,Healthcare,Flipkart,4973.76,Debit Card
51,2025-01-03 17:24:23.546354,Education,Myntra,3689.16,Debit Card
52,2025-01-03 18:42:52.817281,Healthcare,Reliance,1118.39,Credit Card
53,2025-01-03 20:01:22.088208,Shopping,Uber,4240.89,Cash
54,2025-01-03 21:19:51.359135,Entertainment,Swiggy,2102.93,Credit Card
55,2025-01-03 22:38:20.630063,Education,Flipkart,228.96,Debit Card
56,2025-01-03 23:56:49.900990,Entertainment,Zomato,1641.04,Debit Card
57,2025-01-04 01:15:19.171917,Travel,Swiggy,3829.58,Credit Card
58,2025-01-04 02:33:48.442844,Food,Amazon,4803.02,UPI
