transaction_id,date,category,merchant,amount,payment_method,day,month,year,day_of_week,is_weekend,amount_log,category_avg_amount,amount_vs_category_avg,category_encoded,merchant_encoded,payment_encoded,anomaly_prediction,anomaly_score,is_anomaly,amount_difference,amount_difference_percent,reason,severity
5738,2025-11-09 16:44:47.308730,Bills,Swiggy,59.96,Cash,9,11,2025,6,1,4.110217911378391,2588.439496459481,0.0231645360388042,0,7,0,-1,-0.0686386626027876,1,-2528.4794964594807,-97.68354639611957,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
5984,2025-11-23 02:32:47.956795,Healthcare,Amazon,51.42,Cash,23,11,2025,6,1,3.95928819789526,2581.179936457506,0.0199211218380112,4,1,0,-1,-0.061526637063583,1,-2529.759936457506,-98.00788781619887,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
5972,2025-11-22 10:50:56.705670,Travel,Amazon,71.16,Cash,22,11,2025,5,1,4.278885875754368,2612.472435275081,0.0272385649085354,7,1,0,-1,-0.0587942301811486,1,-2541.312435275081,-97.27614350914646,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
3932,2025-08-03 06:15:44.014401,Bills,Flipkart,53416.66,Credit Card,3,8,2025,6,1,10.88589668188574,2588.439496459481,20.63662684527275,0,2,1,-1,-0.0546800076120341,1,50828.22050354052,1963.6626845272751,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
7290,2026-02-02 06:57:55.787578,Bills,Zomato,67.04,Cash,2,2,2026,0,0,4.220095767527661,2588.439496459481,0.0258997747838798,0,9,0,-1,-0.0537070789105212,1,-2521.399496459481,-97.41002252161202,Amount is significantly lower than the category average,High
5733,2025-11-09 10:12:20.954095,Shopping,Airtel,50.05,Credit Card,9,11,2025,6,1,3.9328055446106736,2582.691050488599,0.0193790116671258,5,0,1,-1,-0.0530471794928949,1,-2532.641050488599,-98.06209883328741,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
7262,2026-01-31 18:20:16.201620,Food,Flipkart,62.22,UPI,31,1,2026,5,1,4.146620706787472,2555.6312885375496,0.0243462350297038,3,2,3,-1,-0.0528684328908266,1,-2493.41128853755,-97.56537649702962,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
8694,2026-04-19 19:34:52.169216,Travel,Airtel,31770.46,Debit Card,19,4,2026,6,1,10.366323681511394,2612.472435275081,12.161069939348364,7,0,2,-1,-0.0521648781841738,1,29157.987564724917,1116.1069939348363,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
6228,2025-12-06 09:43:50.063006,Education,Uber,148.0,UPI,6,12,2025,5,1,5.003946305945459,2582.3797758206565,0.0573114773379786,1,8,3,-1,-0.0518152274964842,1,-2434.3797758206565,-94.26885226620213,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
3419,2025-07-06 07:11:28.028802,Entertainment,Zomato,37578.97,Credit Card,6,7,2025,6,1,10.534226474670172,2666.7235731225296,14.09181303182388,2,9,1,-1,-0.0502380594987617,1,34912.24642687747,1309.1813031823879,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
6018,2025-11-24 23:01:23.168316,Travel,Local Store,24150.58,Cash,24,11,2025,0,0,10.092105081371276,2612.472435275081,9.244338686182946,7,3,0,-1,-0.0501061436088193,1,21538.10756472492,824.4338686182946,Amount is significantly higher than the category average; Transaction amount is unusually high,High
6382,2025-12-14 19:10:57.785778,Healthcare,Uber,86.62,UPI,14,12,2025,6,1,4.473009282385752,2581.179936457506,0.0335582958694774,4,8,3,-1,-0.0500487336702628,1,-2494.559936457506,-96.64417041305225,Amount is significantly lower than the category average; Transaction occurred on a weekend,High
7532,2026-02-15 11:31:59.351935,Healthcare,Zomato,52656.1,Credit Card,15,2,2026,6,1,10.87155636127182,2581.179936457506,20.400011349951416,4,9,1,-1,-0.0478854138669275,1,50074.92006354249,1940.0011349951417,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
6710,2026-01-01 16:14:58.649864,Travel,Zomato,69.81,Cash,1,1,2026,3,0,4.260000233663683,2612.472435275081,0.0267218130447563,7,9,0,-1,-0.0475905085904989,1,-2542.662435275081,-97.32781869552437,Amount is significantly lower than the category average,Medium
492,2025-01-27 18:17:32.025202,Bills,Airtel,67.88,Debit Card,27,1,2025,0,0,4.232365860119475,2588.439496459481,0.0262242946349905,0,0,2,-1,-0.0457940361884617,1,-2520.5594964594807,-97.37757053650094,Amount is significantly lower than the category average,Medium
5615,2025-11-02 23:50:46.984698,Bills,Uber,203.36,Debit Card,2,11,2025,6,1,5.319883144462597,2588.439496459481,0.0785647106212681,0,8,2,-1,-0.0456874050584886,1,-2385.0794964594807,-92.14352893787319,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
6357,2025-12-13 10:28:46.012601,Bills,Amazon,180.45,Cash,13,12,2025,5,1,5.200980133659079,2588.439496459481,0.0697138180153807,0,1,0,-1,-0.0450024261031247,1,-2407.989496459481,-93.02861819846193,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
8319,2026-03-30 09:01:55.571557,Shopping,Airtel,61.15,Cash,30,3,2026,0,0,4.12955081795672,2582.691050488599,0.0236768544144803,5,0,0,-1,-0.0435611164135949,1,-2521.541050488599,-97.63231455855195,Amount is significantly lower than the category average,Medium
5570,2025-10-31 12:58:49.792979,Education,Flipkart,73.01,Cash,31,10,2025,4,0,4.304200219209375,2582.3797758206565,0.0282723713543636,1,2,0,-1,-0.0428873730362004,1,-2509.3697758206563,-97.17276286456362,Amount is significantly lower than the category average,Medium
5732,2025-11-09 08:53:51.683168,Bills,Airtel,192.42,Debit Card,9,11,2025,6,1,5.264863990288817,2588.439496459481,0.0743382258937077,0,0,2,-1,-0.0427681959262178,1,-2396.0194964594807,-92.56617741062922,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
6247,2025-12-07 10:35:06.210621,Bills,Reliance,158.81,Credit Card,7,12,2025,6,1,5.073985609597018,2588.439496459481,0.0613535685177202,0,6,1,-1,-0.0424370754354346,1,-2429.629496459481,-93.86464314822798,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
1115,2025-03-02 17:15:27.812781,Education,Swiggy,51.19,Cash,2,3,2025,6,1,3.9548909056553216,2582.3797758206565,0.0198228008441292,1,7,0,-1,-0.0422265871280898,1,-2531.1897758206565,-98.01771991558708,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
8940,2026-05-03 05:22:52.817281,Transport,Swiggy,56.11,Cash,3,5,2026,6,1,4.044979232676772,2469.707294213529,0.0227192915255441,6,7,0,-1,-0.0416017459134564,1,-2413.597294213529,-97.72807084744558,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
6408,2025-12-16 05:11:38.829882,Bills,Airtel,123.9,UPI,16,12,2025,1,0,4.827513417131532,2588.439496459481,0.0478666780388233,0,0,3,-1,-0.040056298028515,1,-2464.5394964594807,-95.21333219611766,Amount is significantly lower than the category average,Medium
8322,2026-03-30 12:57:23.384338,Bills,Airtel,98.81,UPI,30,3,2026,0,0,4.603268378698495,2588.439496459481,0.0381735791526726,0,0,3,-1,-0.0385519353090478,1,-2489.629496459481,-96.18264208473273,Amount is significantly lower than the category average,Medium
6584,2025-12-25 19:25:30.513051,Healthcare,Flipkart,51.65,Cash,25,12,2025,3,0,3.963666238579985,2581.179936457506,0.0200102283728759,4,2,0,-1,-0.0382146038608433,1,-2529.5299364575058,-97.99897716271241,Amount is significantly lower than the category average,Medium
5648,2025-11-04 19:00:52.925292,Transport,Uber,94.57,UPI,4,11,2025,1,0,4.559858963278089,2469.707294213529,0.0382919871604118,6,8,3,-1,-0.0378522590344122,1,-2375.137294213529,-96.17080128395881,Amount is significantly lower than the category average,Medium
6091,2025-11-28 22:30:59.945994,Transport,Amazon,87.92,UPI,28,11,2025,4,0,4.487737089095996,2469.707294213529,0.035599360380072,6,1,3,-1,-0.0367066778780468,1,-2381.787294213529,-96.44006396199279,Amount is significantly lower than the category average,Medium
6106,2025-11-29 18:08:19.009900,Transport,Zomato,4849.83,UPI,29,11,2025,5,1,8.486905103310391,2469.707294213529,1.9637266373076057,6,9,3,-1,-0.0366658718949878,1,2380.1227057864708,96.37266373076059,Amount is higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,Medium
5579,2025-11-01 00:45:13.231323,Travel,Uber,4932.33,UPI,1,11,2025,5,1,8.503769495408193,2612.472435275081,1.887993126128677,7,8,3,-1,-0.0365747178519293,1,2319.857564724919,88.79931261286778,Amount is higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,Medium
5890,2025-11-17 23:34:56.489648,Bills,Airtel,203.6,UPI,17,11,2025,0,0,5.321056853517526,2588.439496459481,0.0786574305787282,0,0,3,-1,-0.0365485579829728,1,-2384.839496459481,-92.13425694212718,Amount is significantly lower than the category average,Medium
6500,2025-12-21 05:32:31.755175,Bills,Reliance,345.71,UPI,21,12,2025,6,1,5.848488695655459,2588.439496459481,0.1335592353898435,0,6,3,-1,-0.0364294227717436,1,-2242.7294964594807,-86.64407646101564,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
7523,2026-02-14 23:45:35.913591,Healthcare,Zomato,26195.47,UPI,14,2,2026,5,1,10.173379947847478,2581.179936457506,10.148641568921963,4,9,3,-1,-0.035367987910065,1,23614.290063542496,914.8641568921965,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
3540,2025-07-12 21:28:29.810981,Bills,Zomato,21728.23,Debit Card,12,7,2025,5,1,9.986413637739997,2588.439496459481,8.394335672021814,0,9,2,-1,-0.0351783398528023,1,19139.79050354052,739.4335672021814,Amount is significantly higher than the category average; Transaction amount is unusually high; Transaction occurred on a weekend,High
6275,2025-12-08 23:12:45.796579,Travel,Airtel,210.61,Debit Card,8,12,2025,0,0,5.35474495784668,2612.472435275081,0.0806171185411278,7,0,2,-1,-0.0341430124540605,1,-2401.8624352750808,-91.93828814588721,Amount is significantly lower than the category average,Medium
4045,2025-08-09 10:04:51.629162,Education,Airtel,79.19,UPI,9,8,2025,5,1,4.384398818818937,2582.3797758206565,0.030665512772936,1,0,3,-1,-0.0334201684540966,1,-2503.1897758206565,-96.9334487227064,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
6717,2026-01-02 01:24:23.546354,Transport,Myntra,66.3,Cash,2,1,2026,4,0,4.209160236650682,2469.707294213529,0.0268452865468468,6,4,0,-1,-0.0332744505890164,1,-2403.407294213529,-97.3154713453153,Amount is significantly lower than the category average,Medium
6185,2025-12-04 01:28:51.413141,Entertainment,Airtel,101.82,UPI,4,12,2025,3,0,4.632979886627359,2666.7235731225296,0.038181685205856,2,0,3,-1,-0.0324820274437082,1,-2564.9035731225295,-96.1818314794144,Amount is significantly lower than the category average,Medium
6249,2025-12-07 13:12:04.752475,Shopping,Amazon,318.63,Cash,7,12,2025,6,1,5.767164076821024,2582.691050488599,0.1233713184314945,5,1,0,-1,-0.032430130870404,1,-2264.061050488599,-87.66286815685055,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
6114,2025-11-30 04:36:13.177317,Education,Airtel,509.08,Cash,30,11,2025,6,1,6.234567576161796,2582.3797758206565,0.1971359924541769,1,0,0,-1,-0.0323232459949798,1,-2073.2997758206566,-80.2864007545823,Amount is significantly lower than the category average; Transaction occurred on a weekend,Medium
