transaction_id,date,category,merchant,amount,payment_method,day,month,year,day_of_week,is_weekend,amount_log,category_avg_amount,amount_vs_category_avg,category_encoded,merchant_encoded,payment_encoded,anomaly_prediction,anomaly_score,is_anomaly
1,2025-01-01 00:00:00.000000,Education,Zomato,2289.55,UPI,1,1,2025,2,0,7.736547242383455,2582.3797758206565,0.8866046820214127,1,9,3,1,0.0516769794302111,0
2,2025-01-01 01:18:29.270927,Entertainment,Airtel,4883.89,UPI,1,1,2025,2,0,8.493902046311376,2666.7235731225296,1.8314196676490688,2,0,3,1,0.021321949478347313,0
3,2025-01-01 02:36:58.541854,Bills,Netflix,296.51,Debit Card,1,1,2025,2,0,5.695447837866143,2588.439496459481,0.1145516441105045,0,5,2,1,0.004428116785499703,0
4,2025-01-01 03:55:27.812781,Education,Zomato,944.1,Credit Card,1,1,2025,2,0,6.8512907420010105,2582.3797758206565,0.3655930118566599,1,9,1,1,0.033368120688580305,0
5,2025-01-01 05:13:57.083708,Shopping,Myntra,3255.16,UPI,1,1,2025,2,0,8.088303865964239,2582.691050488599,1.2603752970701554,5,4,3,1,0.07568764223466207,0
6,2025-01-01 06:32:26.354635,Travel,Uber,725.01,Debit Card,1,1,2025,2,0,6.5875637888346175,2612.472435275081,0.2775187175988939,7,8,2,1,0.030646892500739376,0
7,2025-01-01 07:50:55.625562,Bills,Flipkart,2967.44,Debit Card,1,1,2025,2,0,7.995791841278062,2588.439496459481,1.146420460690282,0,2,2,1,0.0695296669766019,0
8,2025-01-01 09:09:24.896489,Bills,Flipkart,2860.42,UPI,1,1,2025,2,0,7.959073284093324,2588.439496459481,1.105075086326159,0,2,3,1,0.055208403979121634,0
9,2025-01-01 10:27:54.167416,Education,Netflix,4856.48,Cash,1,1,2025,2,0,8.488275063898806,2582.3797758206565,1.8806219152861257,1,5,0,1,0.0351590409189797,0
10,2025-01-01 11:46:23.438343,Transport,Flipkart,4422.76,Credit Card,1,1,2025,2,0,8.39474529218269,2469.707294213529,1.7908033111302022,6,2,1,1,0.056318169155112674,0
11,2025-01-01 13:04:52.709270,Shopping,Zomato,4730.49,Cash,1,1,2025,2,0,8.461995442451391,2582.691050488599,1.831612805219221,5,9,0,1,0.031003671566593227,0
12,2025-01-01 14:23:21.980198,Education,Local Store,612.33,Cash,1,1,2025,2,0,6.418903127137544,2582.3797758206565,0.2371184926916519,1,3,0,1,0.03371069551813355,0
13,2025-01-01 15:41:51.251125,Shopping,Flipkart,4347.33,Credit Card,1,1,2025,2,0,8.377547142325193,2582.691050488599,1.6832559198970247,5,2,1,1,0.06976006995777706,0
14,2025-01-01 17:00:20.522052,Shopping,Netflix,689.0,Credit Card,1,1,2025,2,0,6.536691597591305,2582.691050488599,0.2667760047682255,5,5,1,1,0.05849785534059515,0
15,2025-01-01 18:18:49.792979,Travel,Flipkart,3183.01,UPI,1,1,2025,2,0,8.065896687662859,2612.472435275081,1.2183898888352651,7,2,3,1,0.05140125455908606,0
16,2025-01-01 19:37:19.063906,Bills,Flipkart,3614.39,UPI,1,1,2025,2,0,8.192955012591252,2588.439496459481,1.3963586960189085,0,2,3,1,0.050074507059626905,0
17,2025-01-01 20:55:48.334833,Entertainment,Reliance,846.22,UPI,1,1,2025,2,0,6.741960401185134,2666.7235731225296,0.3173257282940432,2,6,3,1,0.046586341580306945,0
18,2025-01-01 22:14:17.605760,Travel,Zomato,3181.66,Credit Card,1,1,2025,2,0,8.065472604108903,2612.472435275081,1.217873136971486,7,9,1,1,0.05029120209296034,0
19,2025-01-01 23:32:46.876687,Travel,Myntra,309.68,Cash,1,1,2025,2,0,5.738763443551447,2612.472435275081,0.1185390497593488,7,4,0,1,0.0039551986134246375,0
20,2025-01-02 00:51:16.147614,Shopping,Amazon,1501.67,Credit Card,2,1,2025,3,0,7.314998804767713,2582.691050488599,0.581436172830626,5,1,1,1,0.07784128354922715,0
21,2025-01-02 02:09:45.418541,Healthcare,Local Store,4609.73,UPI,2,1,2025,3,0,8.436141474864412,2581.179936457506,1.785900291138378,4,3,3,1,0.06265307665547337,0
22,2025-01-02 03:28:14.689468,Bills,Flipkart,900.07,Cash,2,1,2025,3,0,6.803582946044453,2588.439496459481,0.3477268837966403,0,2,0,1,0.03679549106278379,0
23,2025-01-02 04:46:43.960396,Transport,Airtel,373.09,UPI,2,1,2025,3,0,5.924496410176189,2469.707294213529,0.1510664850341341,6,0,3,1,0.0047742191828282765,0
24,2025-01-02 06:05:13.231323,Travel,Flipkart,2246.21,Cash,2,1,2025,3,0,7.717444725762332,2612.472435275081,0.8598023732883845,7,2,0,1,0.0500812936751015,0
25,2025-01-02 07:23:42.502250,Entertainment,Reliance,4260.56,UPI,2,1,2025,3,0,8.357390569412692,2666.7235731225296,1.5976759057224703,2,6,3,1,0.06804372037345863,0
